Date,Adj Close,Close,High,Low,Open,Volume
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
2022-01-03,1740.2310791015625,1898.449951171875,1914.050048828125,1887.75,1887.75,3329616
2022-01-04,1740.872802734375,1899.1500244140625,1906.6500244140625,1878.0,1898.449951171875,3921999
2022-01-05,1690.914794921875,1844.6500244140625,1902.9000244140625,1840.0,1900.0,6995719
2022-01-06,1666.302490234375,1817.800048828125,1828.0,1800.0,1828.0,6449205
2022-01-07,1663.0943603515625,1814.300048828125,1836.0,1806.800048828125,1815.449951171875,4834389
2022-01-10,1696.50634765625,1850.75,1869.9000244140625,1813.0,1815.0,7857560
2022-01-11,1700.952392578125,1855.5999755859375,1870.0,1850.1500244140625,1855.0,5142287
2022-01-12,1720.9810791015625,1877.449951171875,1889.0,1860.0,1868.9000244140625,5362535
2022-01-13,1738.7186279296875,1896.800048828125,1912.5,1866.3499755859375,1905.0,14277630
2022-01-14,1768.555908203125,1929.3499755859375,1933.0,1881.0,1882.0,7688506
2022-01-17,1777.85986328125,1939.5,1953.9000244140625,1930.5,1938.550048828125,5262464
2022-01-18,1760.672607421875,1920.75,1945.0,1911.449951171875,1922.0999755859375,3690315
2022-01-19,1711.447998046875,1867.050048828125,1916.0,1862.8499755859375,1916.0,5747770
2022-01-20,1671.710693359375,1823.699951171875,1848.0,1815.5,1844.0,5533463
2022-01-21,1636.8778076171875,1785.699951171875,1808.0,1776.0,1795.0,8252758
2022-01-24,1592.0533447265625,1736.800048828125,1768.6500244140625,1728.0,1765.0,7116712
2022-01-25,1578.6241455078125,1722.1500244140625,1740.0,1700.5,1726.5999755859375,9137653
2022-01-27,1538.70361328125,1678.5999755859375,1709.699951171875,1665.0,1702.0,11231734
2022-01-28,1545.670166015625,1686.199951171875,1727.550048828125,1679.5,1681.0,10998502
2022-01-31,1591.503173828125,1736.199951171875,1749.5,1715.3499755859375,1718.0,8788872
2022-02-01,1624.365478515625,1772.050048828125,1780.0,1734.699951171875,1766.0999755859375,5119935
2022-02-02,1638.1611328125,1787.0999755859375,1792.800048828125,1772.0,1789.0,4253717
2022-02-03,1593.657470703125,1738.550048828125,1779.0,1734.0,1779.0,3832922
2022-02-04,1595.9947509765625,1741.0999755859375,1753.949951171875,1710.1500244140625,1732.0,4700077
2022-02-07,1572.070068359375,1715.0,1732.0,1695.4000244140625,1722.199951171875,4310209
2022-02-08,1574.1783447265625,1717.300048828125,1725.0,1696.0,1710.0,6053401
2022-02-09,1592.5115966796875,1737.300048828125,1743.0,1725.0,1735.0,3867244
2022-02-10,1622.11962890625,1769.5999755859375,1773.9000244140625,1748.75,1755.6500244140625,4334630
2022-02-11,1577.8907470703125,1721.3499755859375,1745.949951171875,1713.0,1740.0,7551371
2022-02-14,1542.003662109375,1682.199951171875,1718.550048828125,1678.25,1690.0,7459637
2022-02-15,1593.38232421875,1738.25,1746.75,1690.449951171875,1699.0,4669915
2022-02-16,1588.844970703125,1733.300048828125,1755.449951171875,1726.8499755859375,1738.25,5350642
2022-02-17,1581.0533447265625,1724.800048828125,1749.0,1720.300048828125,1744.0,3937950
2022-02-18,1564.690673828125,1706.949951171875,1722.5,1703.5,1710.0,5602215
2022-02-21,1586.4615478515625,1730.699951171875,1737.300048828125,1691.5,1701.0,5120890
2022-02-22,1589.807373046875,1734.3499755859375,1751.0,1691.050048828125,1699.9000244140625,8878515
2022-02-23,1597.598876953125,1742.8499755859375,1758.25,1733.4000244140625,1750.0,5478811
2022-02-24,1538.2911376953125,1678.1500244140625,1714.949951171875,1670.5,1690.0999755859375,13592379
2022-02-25,1553.3702392578125,1694.5999755859375,1728.1500244140625,1677.0,1715.0,9737281
2022-02-28,1572.619873046875,1715.5999755859375,1728.050048828125,1665.0,1682.199951171875,15076542
2022-03-02,1560.8868408203125,1702.800048828125,1714.4000244140625,1691.0,1710.0,6771489
2022-03-03,1577.4322509765625,1720.8499755859375,1733.9000244140625,1705.550048828125,1720.199951171875,7344147
2022-03-04,1579.6783447265625,1723.300048828125,1736.0,1681.0,1695.25,9074499
2022-03-07,1594.848876953125,1739.8499755859375,1751.0,1696.0,1697.0,9742588
2022-03-08,1630.0028076171875,1778.199951171875,1800.0,1718.449951171875,1718.449951171875,10984500
2022-03-09,1662.22314453125,1813.3499755859375,1831.5999755859375,1791.0,1791.0,10193515
2022-03-10,1673.7275390625,1825.9000244140625,1844.75,1810.199951171875,1844.75,6547182
2022-03-11,1670.152587890625,1822.0,1831.4000244140625,1811.0,1814.0,4758657
2022-03-14,1733.1268310546875,1890.699951171875,1895.0,1831.550048828125,1831.550048828125,10289724
2022-03-15,1686.0106201171875,1839.300048828125,1888.3499755859375,1830.0,1888.3499755859375,7140443
2022-03-16,1731.935302734375,1889.4000244140625,1893.949951171875,1849.0,1865.0,5233979
2022-03-17,1700.035400390625,1854.5999755859375,1923.300048828125,1833.050048828125,1923.300048828125,17731459
